hook,latent,class,auc_clean,auc_recon,auc_abl,delta_causal,delta_causal_pos_mean,delta_causal_neg_mean,delta_causal_boot_mean,delta_causal_ci95_lo,delta_causal_ci95_hi,delta_recon,n_pos,n_neg
stage2,1248,CD,0.910561815321633,0.9095229521246351,0.9055297846935294,0.003993167431105671,0.06309229135513306,0.03395617753267288,0.003989118139909322,0.0015766436889268212,0.006581362327481377,0.0010388631969979745,496,1702
stage2,208,CD,0.910561815321633,0.9095229521246351,0.9062073556726432,0.0033155964519918646,-0.06602618098258972,-0.0763549879193306,0.0033350316095250242,0.0003797077982108851,0.0061408986815488275,0.0010388631969979745,496,1702
stage2,108,CD,0.910561815321633,0.9095229521246351,0.9073717827224138,0.0021511694022212646,-0.030699586495757103,-0.02985992096364498,0.002152145953302911,0.0003870811417193811,0.003759487216265744,0.0010388631969979745,496,1702
stage2,321,CD,0.910561815321633,0.9095229521246351,0.9077638736211668,0.0017590785034682366,0.029242655262351036,0.016798406839370728,0.0017207360539014732,0.00033530673261152624,0.0032473888833246534,0.0010388631969979745,496,1702
stage2,905,CD,0.910561815321633,0.9095229521246351,0.9081464880027292,0.0013764641219058404,-0.003273232840001583,-0.004813301842659712,0.0013624068001314926,0.0003994874033354109,0.002336921967356645,0.0010388631969979745,496,1702
stage2,1076,CD,0.910561815321633,0.9095229521246351,0.9083170653121566,0.0012058868124784627,0.02805628627538681,0.014676646329462528,0.001204731632492893,-0.00013349189062249718,0.002501367952300612,0.0010388631969979745,496,1702
stage2,420,CD,0.910561815321633,0.9095229521246351,0.9083715552860012,0.0011513968386338558,-0.022760508581995964,-0.02177070640027523,0.001165453096118914,1.4067300177286879e-05,0.0023110332919583803,0.0010388631969979745,496,1702
stage2,2041,CD,0.910561815321633,0.9095229521246351,0.9085089647852621,0.0010139873393729681,0.00716414162889123,0.00342472898773849,0.0009913883723906287,0.0002660143766490431,0.0018126339074372025,0.0010388631969979745,496,1702
stage2,545,CD,0.910561815321633,0.9095229521246351,0.9085622701944581,0.0009606819301769542,-0.0011275943834334612,-0.009963690303266048,0.0009514044001028875,-0.0013757486803538154,0.003195154517226522,0.0010388631969979745,496,1702
stage2,1192,CD,0.910561815321633,0.9095229521246351,0.9085717467116485,0.0009512054129865444,0.0047418782487511635,0.0013634614879265428,0.0009480684165999125,0.00047628901611075923,0.0014291309160081589,0.0010388631969979745,496,1702
stage2,208,HYP,0.8361854141694531,0.8373801337455051,0.8284769099741341,0.008903223771370983,0.042387451976537704,0.01001014281064272,0.008879793713514897,0.0031114515206581714,0.015143626212223687,-0.0011947195760519946,262,1936
stage2,108,HYP,0.8361854141694531,0.8373801337455051,0.832831919121822,0.0045482146236831555,0.03799489140510559,0.009569120593369007,0.004548344678286045,0.00136708350562404,0.007892484660627096,-0.0011947195760519946,262,1936
stage2,304,HYP,0.8361854141694531,0.8373801337455051,0.8339615797110592,0.0034185540344459087,-0.046007122844457626,-0.02992239221930504,0.003422545925450635,0.0005406448956613058,0.006504910883902431,-0.0011947195760519946,262,1936
stage2,1248,HYP,0.8361854141694531,0.8373801337455051,0.8355072235190208,0.0018729102264842812,0.008209011517465115,0.005655038636177778,0.00181793210621119,-0.0004133796603062482,0.00400185743033184,-0.0011947195760519946,262,1936
stage2,1136,HYP,0.8361854141694531,0.8373801337455051,0.8358896915021133,0.0014904422433917874,0.025989269837737083,0.00844758003950119,0.0015602787727355652,-0.0004620541546562022,0.0035238368596495866,-0.0011947195760519946,262,1936
stage2,434,HYP,0.8361854141694531,0.8373801337455051,0.8359370071288877,0.001443126616617385,-0.06631280481815338,-0.042585790157318115,0.0014068304000784276,-0.002107505543807586,0.004674266072142396,-0.0011947195760519946,262,1936
